이름,레시피재료,레시피,종류,재료,방법,테마,기념일,도구
칼비빔면,"오뚜기 바로무쳐먹는 파채 양념70g, 오뚜기 칼국수 (건면)100g, 오뚜기 옛날참기름5g, 김치30g, 상추(2~3장)20g, 오이20g, 오뚜기 볶음참깨3g","매콤새콤한 맛을 한껏 살린 칼비빔면! 오뚜기 파채양념은 양조식초와 매실엑기스를 넣어 새콤달콤함이 가득해 칼비빔면 양념으로 간편하게 활용할 수 있어요. 무더운 여름철, 시원하고 씹는 맛이 살아있는 면요리가 끌린다면 적극 추천!

Step 1 김치는 1x1cm, 오이는 채, 상추는 큼직하게 썰어 줍니다.

Step 2 끓는 물에 면을 8분간 삶은 후 찬물에 헹궈요.

Step 3 칼국수 면에 파채양념과 참기름을 부어 비벼요.

Step 4 양념을 비빈 칼비빔면 위에 김치, 상추, 오이, 참깨를 보기 좋게 올려 주면 완성!",면,기타,무침·비빔,,,냄비
크림 카레 냉파스타,"오뚜기 어린이 카레5g, 오뚜기 프레스코 펜네30g, 따뜻한 물10ml, 브로콜리3조각, 오뚜기 베이컨 감자스프30g, 방울토마토3개, 오뚜기 프레스코 후실리30g, 소금1/2T","Step 1 끓는물에 소금 약간과 푸실리, 펜네면을 14분 정도 삶은 후 찬물에 헹궈준다.

Step 2 브로콜리는 데친 후 4등분하고, 방울토마토도 4등분으로 잘라 준비한다.

Step 3 어린이카레를 따뜻한 물에 풀어주며 섞어 카레소스를 완성한다.

Step 4 잘 섞인 카레소스에 베이컨 감자스프를 섞는다.

Step 5 믹싱볼에 모든 재료를 섞은 후 접시에 담아 완성한다.",면,기타,볶음,"스피드, 브런치, 간단 꿀조합",카레데이,후라이팬
명란로제 원팬스파게티,"오뚜기 프레스코 명란로제 스파게티소스 180ml 오뚜기 프레스코 스파게티면 100g, 양파 ¼개, 생마늘 2개, 소금 1/2t, 오뚜기 프레스코 압착올리브유 1T, 물 300ml, 새송이 버섯 1개, 계란노른자 1개, 파슬리가루 1/2t","Step 1 새송이 버섯은 한 입 크기로 자르고, 양파는 채 썰고, 생마늘은 편 썬다.

Step 2 깊은 후라이팬에 물과 소금, 올리브유를 넣고 끓어오르면 스파게티면을 넣고 중불에 5분간 끓인다.

Step 3 손질한 채소와 스파게티소스를 넣어 4분간 끓인다.

Step 4 그릇에 담고 계란노른자와 파슬리가루를 올려 완성한다.","면, 분식",기타,볶음,"스피드, 브런치, 야식, 간식, 파티, 키즈셰프",,후라이팬
넓은 당면 로제파스타,"오뚜기 넓은 당면160g, 오뚜기 프레스코 로제스파게티소스340g, 양파1/2, 마늘5쪽, 비엔나소시지10개, 페퍼론치노5개,  소금0.5","식감 천재 넓은 당면에 로제 소스를 더한다면? 그것이 바로 취향 저격 당면 파스타지요!_x000D_ 한국에만 있을 것 같은 특별한 파스타를 간편하게 즐겨보세요. 혼자도 좋고 여럿이면 더 좋을 것 같아요!_x000D_

Step 1 1. 오뚜기 중국식 18mm 넓은 당면은 찬물에 담가 30분간 불린 뒤 끓는 물(5컵)에 넣어 2분간 삶아 건져준다. TIP 불릴 시간이 없다면 찬물에 씻은 후 10분간 삶아 바로 사용해도 좋습니다.

Step 2 마늘은 3등분하고, 양파는 채 썰고, 비엔나소시지는 어슷하게 칼집 내준다.

Step 3 중간 불로 달군 팬에 식용유(2)를 두른 뒤 손질한 마늘과 양파, 소금(0.5), 후춧가루를 넣어 2분간 볶아준다.

Step 4 페페론치노와 비엔나소시지를 넣어 3분간 볶아준다. TIP 페퍼론치노를 부숴 넣으면 더 매콤하게 즐길 수 있고 청양고추로 대체 가능합니다.

Step 5 로제 소스를 넣어 5분간 끓여준다.

Step 6 소스가 끓어오르면 삶은 넓은 당면을 넣고 3분간 볶아 마무리한다. TIP 간이 부족하다면 소금으로 조절해주세요.",면,기타,볶음,"브런치, 야식, 간식, 파티, 부드러운 식감, 간단 꿀조합",생일,후라이팬
게살로제 원팬펜네파스타,"오뚜기 프레스코 게살로제 스파게티소스 180ml,오뚜기 프레스코 펜네 100g, 양파 ¼개, 생마늘 2개, 소금 1/2t, 오뚜기 프레스코 압착올리브유 1T, 물 300ml, 양송이 버섯 1개, 파슬리가루 1/2t","Step 1 양파는 채 썰고 생마늘과 양송이버섯은 편 썬다.

Step 2 깊은 프라이팬에 물과 소금, 올리브유를 넣고 끓인다.

Step 3 펜네를 넣고 중불에 7분간 끓이다가 손질한 채소와 스파게티 소스를 넣어 4분간 끓인다.

Step 4 그릇에 담고 파슬리가루를 더해 완성한다.","면, 기타","유제품, 기타",볶음,파티,,후라이팬
샐러드 파스타,"오뚜기 레드와인 발사믹 드레싱3T, 오뚜기 프레스코 스파게티면50g, 오뚜기 깐메추리알5알, 양상추3장, 파프리카1/2개, 방울토마토3알, 미니 새송이 버섯30g","배는 고픈데 식욕이 돌지 않을 때 샐러드 파스타를 추천드려요._x000D_ 발사믹 드레싱 하나로 브런치 카페 부럽지 않은 요리를 완성할 수 있습니다.

Step 1 채소들을 먹기 좋은 사이즈로 손질한다.

Step 2 스파게티 면을 끓는 물에 8분 삶아 익힌다.

Step 3 미니 새송이 버섯은 후라이팬에 굽는다.

Step 4 각종 채소와 버섯, 스파게티면을 오뚜기 레드와인 발사믹 드레싱과 버무려 완성한다.",면,기타,무침·비빔,"스피드, 브런치, 1인분, 간단 꿀조합",생일,기타
찐닭개장면,"닭개장면 1개, 청양고추반개, 숙주나물100g, 달걀1개, 대파1/3개, 고춧가루1t","닭개장면을 더욱 진하고 맛있게 먹을 수 있는 찐닭개장 레시피 입니다. _x000D_ 숙주, 대파, 달걀을 넣어 맛과 식감을 살렸어요!_x000D_ 더운 여름 간편하게 찐닭개장으로 맛과 영양을 충천해보세요.

Step 1 물 500ml에 건더기스프를 넣고 끓인다. 달걀 1개는 잘 풀어서 준비한다

Step 2 물이 끓으면 4분 타이머를 맞추고 액체스프, 면을 넣어 끓인다.

Step 3 1분 정도 남았을 때 달걀을 넣고 숙주100g, 대파, 청양고추 반 개, 고추가루 1t 넣은 뒤 끓인다.

Step 4 4분 조리 완료 후 비책건더기를 넣어주면 완성. Tip. 면을 다 먹은 후 남은 국물에 누룽지 또는 밥을 함께 말아먹거나, 넣고 끓여주면",면,채소,기타,간식,,냄비
냉우동,"오뚜기 가쓰오부시장국40ml, 오뚜기 우동면사리1봉[190g], 물360ml, 양파1/4개, 오뚜기 순후추약간, 소금약간, 오뚜기 튀김가루1컵, 오뚜기 미향1T, 손질 새우3마리, 양상추2장, 오뚜기 콩기름4T, 물1/2컵","장국으로 시원하게 즐기는 냉우동!

Step 1 가쓰오부시장국과 물을 섞어 육수를 만들고 시원하게 냉장실에 넣어둔다.

Step 2 양파는 채 썰고 양상추는 먹기 좋게 찢는다.

Step 3 양파는 찬물에 담가 매운맛을 뺀다.

Step 4 손질한 새우는 미향과 소금, 후추로 간을 한다.

Step 5 튀김가루에 물을 넣고 섞어 튀김반죽을 만든다.

Step 6 새우에 튀김가루를 약간 묻힌 후 튀김반죽을 묻혀 콩기름을 두른 후라이팬에 튀긴다.

Step 7 끓는 물에 우동면사리를 3분간 익히고 찬물에 헹궈 물기를 뺀다.

Step 8 우동그릇에 양상추를 깔고 우동면과 양파를 올린다.

Step 9 시원한 육수를 붓고 튀긴 새우를 올려 완성한다.","면, 분식",해물,튀김,1인분,,후라이팬
해물쟁반짜장,"오뚜기짜장1봉[100g], 물600ml, 손질 오징어1/2마리, 돼지고기 [등심]150g, 칵테일 새우100g, 양파1개, 대파1/3대, 다진 마늘1T, 오뚜기 생면사리3봉[600g], 오뚜기 콩기름2T, 오뚜기 미향1T, 감자2개, 양송이 버섯3개, 오이채약간","중국집에서 쟁반짜장을 시켜먹으면 편하긴 하지만 가끔 면이 불어서 올 때가 있어 아쉽기도 하고, 직접 만든 요리를 내고 싶을 때가 있기도 하지요. 파기름에 직접 볶아 만드는 짜장은 배달음식에 견주어도 부족하지 않을 만큼 맛있답니다. 이번 주말에는 직접 만든 해물 쟁반짜장으로 가족들과 즐거운 한 끼를 해보시는 것은 어떨까요?

Step 1 손질된 오징어와 돼지고기는 굵게 채 썬다.

Step 2 양파와 감자는 다이스하고, 양송이 버섯은 편 썰고 대파는 송송 썬다.

Step 3 깊은 후라이팬에 콩기름을 두르고 대파를 볶는다.

Step 4 대파의 향이 고소하게 올라오면 다진 마늘, 돼지고기를 넣고 볶는다.

Step 5 돼지고기가 반 정도 익으면 미향을 넣고 강한 불에 볶는다.

Step 6 감자와 양파, 오징어, 새우를 넣어 살짝 볶고 짜장 분말을 더해 5분간 볶는다.

Step 7 물과 양송이를 넣고 팔팔 끓여 짜장 소스를 완성한다.

Step 8 생면사리를 끓는 물에 1분 30초간 익혀 그릇에 담는다.

Step 9 면 위로 짜장 소스를 붓고 오이채를 얹어 완성한다.",면,"돼지고기, 채소, 해물",볶음,"파티, 1인분",,후라이팬
크림 진짬뽕,"오뚜기 진짬뽕 [봉지]1개 (130g), , 우유200ml, 생마늘5개, 물100ml, 다진마늘1T, 양파1/2개","짬뽕이 땡길 때 진짬뽕을 찾으시나요? 진짬뽕은 그대로도 정말 맛있지만, 색다르게 즐기실 수 있는 방법을 소개해드릴게요. SNS상을 뜨겁게 달궜던 ‘크림진짬뽕’ 레시피입니다! 진짬뽕 소스와 우유를 조합하면 신기하게도 투움바 파스타 같은 느낌이 나요. 평소처럼 라면을 끓여 먹기엔 심심한 날, 우유와 마늘, 양파만으로 레스토랑의 파스타 레시피를 재현해보세요.

Step 1 양파는 채 썰고 마늘은 편 썬다.

Step 2 후라이팬에 콩기름을 두르고 다진 마늘, 편마늘, 양파를 넣고 볶는다※기호에 맞게 해물이나 베이컨 등을 넣어 함께 볶아도 좋다.

Step 3 우유와 물을 부어 끓기 시작하면 진짬뽕 건더기스프와 액상스프를 넣어 끓인다

Step 4 진짬뽕 면을 넣고 약 4분간 끓여 완성한다.",면,"해물, 유제품",볶음,"스피드, 야식, 캠핑, 1인분, 셰프의 팁! 간편식 업그레이드",,후라이팬
카레 대하파스타,"오뚜기 프레스코 펜네각각 70g / 70g, 양파1/2개, / 오뚜기 프레스코 후실리, , 손질 대하5마리, 아스파라거스2줄기, 다진 마늘1T, 방울토마토5개, 오뚜기 1/2하프 버터린3T, 바질적당량, 물200ml, 소금/후추/허브적당량, 프리미엄 바몬드카레 순한맛고형50g, 오뚜기 순후추1t","색깔부터 특별하게 즐기는 노란 카레 파스타! 버터로 볶아 고소한 양파에 꿀과 사과가 들어간 프리미엄 바몬드카레로 풍미를 더했어요. 아스파라거스와 대하로 식감과 영양까지 모두 잡은 레시피랍니다.

Step 1 후라이팬에 버터와 다진 마늘, 다진 양파를 넣고 양파가 투명해질 때까지 볶는다.

Step 2 아스파라거스와 방울토마토를 먹기 좋은 크기로 손질한다.

Step 3 1의 볶은 야채에 카레와 물을 넣고 끓어오르면 손질해둔 2의 채소를 넣고 약불로 줄여 끓인다.

Step 4 기존 파스타 권장 조리시간보다 2~3분 줄여 파스파면을 삶는다.

Step 5 준비해둔 대하와 파스타를 넣고 중불에서 3분간 끓인 후,

Step 6 파슬리 또는 바질 등을 뿌려 완성한다.",면,"채소, 해물",,"브런치, 파티, 1인분",카레데이,후라이팬
노오븐 카레 라자냐,"다진 소고기100g, 백세카레 매운맛 고형2조각, 다진 돼지고기50g, 물100ml, 새송이버섯1개씩, 오뚜기 프레스코 압착 올리브유1T, 토마토1개, 양파1/2개, 가지1/2개씩, 라자냐3장, 마늘2쪽, 오뚜기 슈레드치즈 모짜렐라1[90g], 오뚜기 토마토케챂5T, 콜비잭 치즈100g, 소금적당량, 바질적당량, 오뚜기 순후추적당량","오븐이 없어도 맛있게 만들 수 있는 카레 라자냐 레시피!_x000D_ 전자레인지로 간편하게 만들 수 있어서 오븐이 없는 분들도 쉽게 도전해볼 수 있답니다. 기존 라자냐에 카레를 더해 더욱 색다르고 중독성 있어요. 너무 맛있어서 과식하지 않도록 조심하세요! 고기와 소스 따로 준비하는 것이 번거롭다면, 오뚜기 미트스파게티소스를 사용하면 더 간편하게 만들 수도 있답니다._x000D_

Step 1 카레소스: 후라이팬에 껍질 벗겨 다진 토마토와 케챂을 함께 넣고 볶다가고형카레 2조각과 물을 넣고 저어가며 끓여 소스를 만든다.

Step 2 다진 소고기와 돼지고기를 섞어 소금, 후추로 간하여 준비한다.

Step 3 중불로 달군 팬에 올리브유를 두르고, 양파와 마늘을 넣고 볶다가 준비해둔 소고기, 돼지고기를 넣고 볶는다.

Step 4 새송이버섯은 얇게 썰어 마른 팬에 앞뒤로 노릇하게 구워 준비한다.

Step 5 팬에 라자냐 파스타, 카레소스, 가지, 새송이버섯, 모짜렐라 치즈, 콜비잭 치즈를 2번 반복해서 얹고 전자레인지에서 치즈가 녹을 때까지 조리한다.

Step 6 완성된 라자냐 위에 바질 등 허브를 얹어서 마무리한다.",면,"쇠고기, 돼지고기, 채소, 유제품","구이, 볶음","브런치, 도시락, 파티, 1인분, 키즈푸드",카레데이,"후라이팬, 전자레인지"
냉 메밀소바,"오뚜기 옛날 메밀국수100g, 실파1/8줄기, 오뚜기 메밀소바장국75ml, 무1/10개, 물300ml, 김1/4장, 오뚜기 연와사비1t","시원하고 깔끔한 맛이 일품인 냉 메밀소바 한 그릇 어떠세요? 씹으면 씹을수록 올라오는 메밀의 고소함과 장국의 깊고 풍부한 맛을 즐길 수 있는 레시피를 소개합니다. 육수를 냉동고에 보관한 뒤 살짝 얼음이 생겼을 때 꺼내 쓰시면 무더운 여름철 더욱 더 시원하게 더위를 날려버릴 수 있을 거에요!

Step 1 물과 메밀소바장국을 섞어 육수를 만들고 냉장 보관한다.

Step 2 쪽파를 송송 썰고, 무는 강판에 간다. 김은 얇게 채 썬다.

Step 3 끓는 물에 메밀국수면을 5분간 삶아 찬물에 헹궈 물기를 뺀다.

Step 4 국수면을 사리 틀어 그릇에 담는다.

Step 5 냉장 보관한 육수를 붓고, 쪽파, 무, 김, 연와사비를 올려 완성한다.※와사비의 양은 기호에 따라 조절한다.","면, 분식",기타,기타,"스피드, 1인분, 키즈푸드",,기타
간장 비빔국수,"오뚜기 옛날 국수 소면100g, 오뚜기 삼겹살 양파절임소스4T, 양파1/4개, 오뚜기 고소한참기름1T, 당근1/8개, 오뚜기 벌꿀아카시아1T, 부추20g, 다진마늘1/2T, 오뚜기 옛날 볶음참깨1/2t, 오뚜기 순후추1/2t, 오뚜기 콩기름2T","간장 없이 만드는 간장비빔국수! 활용도 만점인 삼겹살양파절임소스로 간장을 대신해서 손쉽게 만들 수 있어요. 출출할 때 한그릇 비벼먹기에도 좋고, 삼겹살파티 후에 단짠단짠 후식국수로도 찰떡이랍니다!

Step 1 양파, 당근, 돼지호박을 4~5cm 길이로 채 썬다.

Step 2 양파절임소스, 참기름, 꿀, 다진마늘, 후추로 소스를 만든다.

Step 3 끓는 물에 소면을 넣고 3분간 삶다가 면이 거의 익을 때쯤 (1)의 채소를 넣고 1분간 더 삶은 후 함께 건져서, 찬물에 헹구고 물기를 뺀다.

Step 4 면과 채소, 소스를 섞고 참깨를 뿌려 완성한다.","면, 분식",채소,무침·비빔,"스피드, 야식, 1인분, 키즈푸드",,후라이팬
토마토 냉파스타,"오뚜기 프레스코 후실리 30g, 오뚜기 프레스코 펜네 30g, 오뚜기 순 토마토퓨레 4T, 오뚜기 벌꿀아카시아 1T, 소금 1/2t, 방울토마토 3개, 브로콜리 3개, 블랙올리브 3개, 파마산치즈가루 1t","냉파스타가 낯설게 느껴지시나요? 시원한 토마토 파스타 샐러드라고 생각해주세요. 차가운 파스타의 쫀득한 식감과 토마토, 꿀, 치즈의 조합이 찰떡이랍니다. 키자니아 오뚜기 쿠킹스쿨에서 많은 사랑을 받았던 메뉴로, 아이들과 함께 만들기에도 좋아요. 조금 더 가볍게 즐기고 싶다면, 파스타 대신 브로콜리 양을 더 늘려보세요.

Step 1 끓는 물에 후실리와 펜네를 15분간 삶고 찬물에 헹궈 물기를 뺀다.

Step 2 브로콜리는 데친 후 4등분 하고, 방울토마토와 블랙올리브는 반으로 자른다.

Step 3 토마토퓨레에 꿀과 소금을 섞어 소스를 만든다.

Step 4 파스타와 브로콜리, 방울토마토, 블랙올리브를 소스에 버무리고,치즈가루를 뿌려 완성한다.","면, 샐러드",채소,무침·비빔,"브런치, 도시락, 파티, 키즈셰프, 키즈푸드",,기타
토마토 미트볼파스타,"오즈키친 토마토 미트볼 1봉, 오뚜기 프레스코 퀵스파게티면 80g, 생마늘 3톨, 오뚜기 프레스코 카놀라유 1T, 파마산 치즈가루 1/2T, 파슬리가루 1t","오즈키친 미트볼 X 파스타면 간단 꿀조합 _x000D_ 홈메이드 스타일로 만든 오즈키친 토마토 미트볼에 스파게티면을 더해 빠르고 쉽게 만드는 파스타 레시피예요. 이탈리안 레스토랑 부럽지 않은 미트볼 파스타가 뚝딱 완성! 꾸덕한 크림 파스타를 원한다면 토마토미트볼 대신 오즈키친 할라피뇨 크림미트볼을 사용하면 된답니다.

Step 1 스파게티면을 끓는 물에 3분간 삶고, 면수는 따로 남긴다.

Step 2 생마늘은 편 썬다.

Step 3 후라이팬에 카놀라유를 두르고 마늘을 볶는다.

Step 4 토마토 미트볼에 면수 4T를 추가해 3분간 끓인다.

Step 5 4에 삶은 면을 넣고 쎈불에 빠르게 볶아 그릇에 담는다.

Step 6 파마산 치즈가루와 파슬리가루를 뿌려 완성한다.",면,유제품,볶음,"스피드, 브런치, 야식, 캠핑, 키즈푸드, 셰프의 팁! 간편식 업그레이드, 간단 꿀조합",,후라이팬
열무비빔국수,"오뚜기 옛날국수 세면 100g, 오이 1/3개, 오뚜기 비빔장 3T, 오뚜기 옛날 볶음참깨 1t, 열무김치 40g, 오뚜기 고소한 참기름 1T","아삭아삭하고 시원한 맛있는 열무김치는 그 자체로도 훌륭한 반찬이지만 열무비빔국수로 만들어 먹는 것도 최고의 별미죠! 오뚜기 비빔장이 없으시다고요? 고추장과 오뚜기 올리고당, 사과식초 등을 섞어서 대신 만들 수 있어요. 마무리로 취향에 따라 잘 삶은 반숙 계란도 한 조각 올리면 더욱 더 매력 만점의 요리가 되겠습니다!

Step 1 오이를 채 썬다.

Step 2 끓는 물에 세면을 3분간 삶아 찬물에 헹구고 물기를 뺀다.

Step 3 세면에 비빔장을 버무리고, 사리를 틀어 그릇에 담는다. Tip. 비빔장이 없다면? 고추장 2T, 올리고당 2T, 사과식초 1T, 참깨1/2T, 설탕1/2T, 고춧가루1/2T, 다진마늘 1t를 섞어 양념장을 만든다.

Step 4 오이와 열무김치를 얹고 참기름과 깨를 둘러 완성한다.","면, 분식",채소,무침·비빔,"스피드, 브런치, 야식, 1인분, 채식",,기타
열라떡볶이,"오뚜기 열라면 1개, 오뚜기 떡국떡 200g, 물 500ml, 파채 10g, 오뚜기 맛있는계란 1개, 오뚜기 옛날 볶음참깨 2t, 오뚜기 물엿 2T, 고추장 1T, 다진마늘 1/2T","열라면 X 떡국떡 간단 꿀조합!! _x000D_ _x000D_ 냉동실에 남은 떡국 떡도 다시 보기! 열라면으로 쉽고 맛있게 완성하는 매콤칼칼한 라볶이 레시피예요. 특히 명절에 느끼한 음식이 지겨워지면 생각나는 맛! 화끈한 매콤함에 자꾸자꾸 끌린답니다.

Step 1 떡국떡을 물에 불린다.

Step 2 물엿, 고추장, 다진마늘, 열라면 건더기스프를 섞어 소스를 만든다.

Step 3 냄비에 물이 끓기 시작하면 만든 소스와 열라면 면, 분말스프 1/3, 떡국떡을 4분간 끓인다.

Step 4 반숙란과 파채를 올리고 깨를 뿌려 완성한다.","면, 분식",기타,국탕찌개,"스피드, 간식, 캠핑, 간단 꿀조합",,"냄비, 기타"
미역국 파스타,"오뚜기 즉석미역국 1봉(18g), 오뚜기 마일드참치1캔(100g), 오뚜기 프레스코 스파게티면(200g), 생마늘 4톨, 오뚜기 고소한 참기름 2T,  물 250ml, 들깨가루 1T","특별한 파스타를 즐기고 싶다면? 특별한 생일상을 만들고 싶다면? 미역국파스타를 추천합니다! 미역과 참치의 감칠맛이 파스타와 어우러져 의외의 조합을 이룬답니다. 고소하고 짭짤해서 계속 끌리는 묘한 맛, 미역국의 대변신!

Step 1 스파게티 면을 끓는 물에 7분간 익히고 약간의 참기름을 섞는다.

Step 2 즉석 미역국을 조리하고 건더기와 국물을 나눈다.

Step 3 생마늘을 편 썬다.

Step 4 후라이팬에 참기름을 두르고 마늘과 참치, 미역국 건더기를 볶는다.

Step 5 익힌 면과 미역국 국물 3컵을 넣어 어우러지게 볶는다.

Step 6 접시에 미역국 파스타를 담고 들깨가루를 뿌려 완성한다.",면,해물,볶음,"스피드, 야식, 캠핑, 셰프의 팁! 간편식 업그레이드",생일,후라이팬
라따뚜이 카레파스타,"방울토마토 10개, 프레스코 스파게티 200g, 주키니 호박 1/2개, 백세카레 약간 매운맛 3T, 가지 1/2개, 프레스코 압착 올리브유약간, 양송이버섯 5개, 양파 1/2개, 소금 약간, 직접 갈아먹는 통후추 약간","원래 라따뚜이(ratatouille)는 가지, 호박, 피망, 토마토 등에 허브와 올리브 오일을 넣고 뭉근히 끓여 만든 채소 스튜를 말해요. 라따뚜이를 응용해서 카레를 만들어보니 맛이 정말 좋아서 강력히 추천하는 레시피입니다. 오뚜기밥을 곁들여 카레라이스로 먹어도 좋지만, 이번에는 파스타를 삶아 색다르게 즐겨보세요.

Step 1 반으로 자른 방울토마토를 올리브오일과 소금, 후추에 버무린 후라이팬에 앞뒤로 노릇하게 구워 덜어둔다.

Step 2 호박, 가지 버섯 등은 먹기 좋은 크기로 깍뚝 썰어 올리브오일과 소금, 후추를 약간 뿌려 팬에 볶는다.

Step 3 반쯤 익은 2의 채소에 백세카레를 뿌린다.

Step 4 분량의 파스타면을 삶아 준비하고, 1과 2의 토마토와 야채, 면수와 함께 버무려 완성한다.",면,채소,볶음,"브런치, 파티, 채식",카레데이,후라이팬
스모크 감자치즈볼,"직접갈아먹는 스모크페퍼솔트 2t(1g), 감자 2개(350g), 감자맛 전분 3T(15g), 라망 구워먹는 치즈 1/3개(40g), 프레스코 카놀라유 유탕용, 퐄햄 1/2캔(100g)","간식으로도 좋고 술안주로도 좋은 감자 치즈볼입니다. 반죽에 훈연한 페퍼솔트를 추가하여서 스모크 향을 더해보세요. 크리스피 식감에 감자의 고소함이 더욱 잘 어우러져서 계속해서 찾게 될 겁니다.

Step 1 감자는 적당한 크기로 다이스하고 퐄햄은 작게 다이스하여 준비한다.

Step 2 전자레인지 용기에 다이스한 감자와 약간의 물(2T)을 넣고 랩을 씌워 8분간 조리한다.

Step 3 익은 감자를 으깨어 감자맛 전분과 퐄햄, 스모크 페퍼솔트를 넣어 반죽한다.

Step 4 구워먹는치즈를 2cm의 정사각형 모양으로 자른다.

Step 5 감자반죽에 구워먹는치즈를 넣고 동그랗게 모양낸다.

Step 6 카놀라유를 160도까지 데운 후 3분간 고르게 튀겨 완성한다.

Step 7 에어프라이어 조리 시 동그랗게 모양낸 반죽에 카놀라유를 골고루 묻혀준다.

Step 8 모양낸 반죽은 160도에서 10분~15분간 조리하여 완성한다.","디저트, 분식","채소, 유제품",튀김,"간식, 키즈푸드","생일, 크리스마스","에어프라이어, 후라이팬"
복숭아 치즈케이크,"황도 1캔(400g), 핫케이크믹스 250g, 생크림 150ml, 젤라틴 가루 5g, 크림치즈 100g, 계란 1개, 우유 135ml, 찬물 5T(50g)","달콤한 디저트가 당길 때, 황도로 만드는 복숭아 치즈케익 어떠세요? 달달한 황도와 진한 크림치즈가 만나 행복한 디저트 타임을 만들어줘요. 황도의 촉촉한 식감과 퐁신한 케이크 시트, 부드러운 생크림의 하모니! 완성한 케이크에 황도 몇 조각 잘라 데코해주면 소중한 사람에게 선물하기에도 좋아요!

Step 1 핫케이크믹스에 계란과 우유를 섞어 반죽한다.

Step 2 후라이팬에 반죽을 동그랗게 구운 뒤 완전히 식혀 케이크 시트를 준비한다. Tip. 중약불에서 최소 5분이상 구워주세요.

Step 3 젤라틴 가루는 약간의 찬물을 넣고 10분간 불린다.

Step 4 크림치즈를 부드럽게 풀어 불린 젤라틴과 황도 캔 안에 있는 주스(100ml)를 넣고 섞는다.

Step 5 생크림은 80%까지 휘핑하고 (4)와 섞어 케이크 크림을 완성한다.

Step 6 무스링에 랩을 두르고 케이크 시트를 깔아준 뒤, 시트에 황도 캔 주스를 발라 적셔준다.

Step 7 작게 썰어둔 황도(1~2조각)를 올려가며 크림을 두텁게 얹어준다.

Step 8 슬라이스 한 황도를 케이크 위에 넉넉히 올려 장식하고, 냉장고에 3시간 이상 굳혀 완성한다.",디저트,"계란, 유제품, 기타","구이, 기타","브런치, 간식, 파티, 부드러운 식감","생일, 크리스마스","후라이팬, 기타"
오이 샌드위치,"오이 1/2개(130g), 꽃소금 1t(2g), 프레스코 압착올리브유 1t(3g), 직접 갈아먹는 통후추 약간, 골드 마요네스 3T(30g), 식빵 3장(90g)","식빵 위에 고소한 마요네스와 아삭한 오이가 올라가 입맛을 돋워주는 인기 만점 간식입니다. 간단한 식사대용으로도, 주말 아침 느긋하게 즐기는 브런치로도 손색없답니다. 올리브유 두르고 후추 톡톡 더해주면 한층 깊은 풍미를 즐길 수 있어요! 다가오는 주말 아침은 아삭한 식감과 시원한 향이 매력인 오이 샌드위치 어떠세요?

Step 1 오이는 길고 얇게 슬라이스한 후 소금에 5분간 절인다.

Step 2 절인 오이는 물기를 최대한 제거한다.

Step 3 토스트한 식빵에 마요네스를 바른 후 오이를 올린다.

Step 4 오이 위로 올리브유와 후추를 더해 완성한다","디저트, 기타","채소, 기타",기타,"스피드, 브런치, 냉장고털이, 간식, 도시락, 1인분, 키즈푸드, 간단 꿀조합",,후라이팬
연어 키쉬,"렌지에돌려먹는연어구이 1팩(60g), 애호박 1/3개(100g), 감자 1/3개(70g), 슈레드치즈 모짜렐라 1봉(70g), 달걀 노른자 1개 방울토마토 6개(66g), 프레스코 압착 올리브유 1T(10g) 소금 약간, 올리브바질참치 100g ","프랑스의 대표 전통 요리 중 하나인 키쉬는 프랑스 지역별로 다양한 레시피가 있을 만큼 대중적이고 역사가 깊은 메뉴입니다. 기본적으로 페이스트리 크러스트에 달걀과 크림, 베이컨, 야채 등을 넣어 완성하기도 하지만 사용하는 재료에 따라 다채로운 요리가 되기도 합니다. 이번 레시피는 밀가루 대신 애호박을 사용해보았습니다. 연말에 소중한 사람들과 함께 따뜻한 키쉬를 나눠보는 건 어떨까요?

Step 1 감자는 끓는 물에 삶아 준비한다.

Step 2 삶은 감자에 모짜렐라 치즈와 노른자 1개를 섞고 소금 간하여 반죽한다.

Step 3 렌지에돌려먹는 연어구이를 먹기 좋게 자른다.

Step 4 애호박을 얇고 길게 슬라이스 한 후 소금에 살짝 절인다.

Step 5 애호박을 키쉬 틀에 담아 모양을 잡는다.

Step 6 애호박 틀 안에 감자치즈반죽과 연어, 방울토마토를 더하고 재료 위에 올리브오일을 살짝 두른다.

Step 7 에어프라이어 180도에 20분간 조리해 완성한다. Tip. 연어구이 대신 올리브바질참치를 사용하면 고소한 올리브참치키쉬를 만들 수 있습니다!","디저트, 기타","해물, 계란, 유제품",구이,"브런치, 간식, 파티","생일, 크리스마스",에어프라이어
